USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
1,Bronce,SANTO DOMINGO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Plata,CAREPA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Oro,CERETE,CORDOBA,COLOMBIA,ATLANTICO,recien nacido
1,Oro,SANTA FE DE ANTIOQUIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,ROVIRA,TOLIMA,COLOMBIA,CENTRO,aventurero
1,Bronce,SAN MARTIN,META,COLOMBIA,LLANOS,aventurero
1,Oro,VENECIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,PE?OL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,ACEVEDO,HUILA,COLOMBIA,CENTRO,aventurero
1,Oro,LA SIERRA,CAUCA,COLOMBIA,PACIFICO,explorador
1,Oro,SABANALARGA,CASANARE,COLOMBIA,LLANOS,explorador
1,Bronce,GUACHENE,CAUCA,COLOMBIA,PACIFICO,aventurero
1,Bronce,VALLE DE SAN JOSE,SANTANDER,COLOMBIA,SANTANDERES,explorador
2,Oro,ARATOCA,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Bronce,MARMATO,CALDAS,COLOMBIA,EJE CAFETERO,explorador
1,Bronce,MOTAVITA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,LA MESA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Oro,LA VIRGINIA,RISARALDA,COLOMBIA,EJE CAFETERO,recien nacido
1,Bronce,EL BAGRE,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Bronce,SAMANIEGO,NARI?O,COLOMBIA,PACIFICO,acostadito
1,Plata,SALENTO,QUINDIO,COLOMBIA,EJE CAFETERO,recien nacido
1,Bronce,SOPETRAN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
1,Plata,CALIMA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Bronce,USME,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,TOPAIPI,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,FUSAGASUGA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
1,Bronce,LA CRUZ,NARI?O,COLOMBIA,PACIFICO,aventurero
1,Bronce,FALAN,TOLIMA,COLOMBIA,CENTRO,aventurero
1,Bronce,MARINILLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Bronce,JARDIN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Oro,SOLITA,CAQUETA,COLOMBIA,LLANOS,recien nacido
1,Bronce,GRANADA,META,COLOMBIA,LLANOS,embarazada
1,Plata,SAN VICENTE FERRER,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
1,Oro,HATILLO DE LOBA,BOLIVAR,COLOMBIA,ATLANTICO,recien nacido
1,Bronce,ANORI,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,ILES,NARI?O,COLOMBIA,PACIFICO,acostadito
1,Bronce,PEQUE,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Bronce,MIRANDA,CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Bronce,SANDONA,NARI?O,COLOMBIA,PACIFICO,recien nacido
1,Bronce,VILLANUEVA,CASANARE,COLOMBIA,LLANOS,recien nacido
1,Bronce,ROLDANILLO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Bronce,RIOFRIO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Plata,TOCANCIPA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
25,Bronce,PALMIRA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
76,Oro,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,ATLANTICO,acostadito
7,Oro,BOSA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
237,Oro,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
61,Oro,FLORIDABLANCA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
262,Oro,BARRANQUILLA,ATLANTICO,COLOMBIA,ATLANTICO,explorador
2203,Oro,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
917,Plata,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
18,Oro,GIRARDOTA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
275,Oro,IBAGUE,TOLIMA,COLOMBIA,CENTRO,explorador
85,Plata,CALI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
140,Oro,SOLEDAD,ATLANTICO,COLOMBIA,ATLANTICO,aventurero
1230,Bronce,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
33,Oro,DOSQUEBRADAS,RISARALDA,COLOMBIA,EJE CAFETERO,aventurero
93,Oro,POPAYAN,CAUCA,COLOMBIA,PACIFICO,aventurero
64,Plata,CALI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
5,Oro,TURBO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
47,Plata,IBAGUE,TOLIMA,COLOMBIA,CENTRO,aventurero
6,Bronce,CARTAGO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
23,Oro,OCA?A,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,explorador
62,Oro,VILLAVICENCIO,META,COLOMBIA,LLANOS,acostadito
3,Bronce,MONTELIBANO,CORDOBA,COLOMBIA,ATLANTICO,aventurero
2,Oro,MAICAO,LA GUAJIRA,COLOMBIA,ATLANTICO,aventurero
19,Oro,MALAMBO,ATLANTICO,COLOMBIA,ATLANTICO,explorador
38,Oro,MOSQUERA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
73,Plata,MANIZALES,CALDAS,COLOMBIA,EJE CAFETERO,explorador
7,Plata,DOSQUEBRADAS,RISARALDA,COLOMBIA,EJE CAFETERO,acostadito
33,Oro,QUIBDO,CHOCO,COLOMBIA,ANTIOQUIA,aventurero
7,Oro,SAN GIL,SANTANDER,COLOMBIA,SANTANDERES,recien nacido
86,Oro,BARRANQUILLA,ATLANTICO,COLOMBIA,ATLANTICO,recien nacido
169,Oro,MANIZALES,CALDAS,COLOMBIA,EJE CAFETERO,explorador
38,Plata,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
21,Oro,MONTERIA,CORDOBA,COLOMBIA,ATLANTICO,recien nacido
120,Plata,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,explorador
28,Plata,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,ATLANTICO,acostadito
9,Oro,COTA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
77,Bronce,NEIVA,HUILA,COLOMBIA,CENTRO,explorador
58,Plata,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,acostadito
31,Bronce,BARRANQUILLA,ATLANTICO,COLOMBIA,ATLANTICO,embarazada
91,Oro,IBAGUE,TOLIMA,COLOMBIA,CENTRO,acostadito
65,Oro,SOACHA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
