ID,CIUDAD,DEPARTAMENTO,PAIS,FECHA_PRIMER_CONTACTO,DISTRITO,ETAPA_BEBE,HIJOS
5630864,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-07-09,CUNDI-BOY,aventurero,1
5562824,ARMENIA,QUINDIO,COLOMBIA,2017-12-08,EJE CAFETERO,aventurero,1
5512060,TUNJA,BOYACA,COLOMBIA,2019-06-04,CUNDI-BOY,acostadito,1
5519624,BARRANQUILLA,ATLANTICO,COLOMBIA,2019-08-11,ATLANTICO,N/A,0
5386977,BUCARAMANGA,SANTANDER,COLOMBIA,2019-06-19,SANTANDERES,N/A,0
4441732,NEIVA,HUILA,COLOMBIA,2017-02-05,CENTRO,N/A,0
5518885,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2018-10-28,CUNDI-BOY,aventurero,1
5567569,YARUMAL,ANTIOQUIA,COLOMBIA,2019-03-21,ANTIOQUIA,explorador,1
5533091,NEIVA,HUILA,COLOMBIA,2018-11-30,CENTRO,explorador,1
5533171,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-07-05,ATLANTICO,N/A,0
4428852,BUENAVENTURA,VALLE DEL CAUCA,COLOMBIA,2018-04-15,PACIFICO,aventurero,1
5592391,RIONEGRO,ANTIOQUIA,COLOMBIA,2017-07-24,ANTIOQUIA,36 o mayor,1
5326756,VILLAVICENCIO,META,COLOMBIA,2017-10-11,LLANOS,aventurero,1
5426957,CIENAGA,MAGDALENA,COLOMBIA,2018-06-21,ATLANTICO,explorador,1
5622229,PASTO,NARI?O,COLOMBIA,2017-11-22,PACIFICO,aventurero,1
5549709,MALAMBO,ATLANTICO,COLOMBIA,2019-09-25,ATLANTICO,explorador,1
4212793,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-01-19,CUNDI-BOY,aventurero,1
5457587,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-01-03,CUNDI-BOY,aventurero,1
5473388,BELLO,ANTIOQUIA,COLOMBIA,2019-04-15,ANTIOQUIA,N/A,0
5495029,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-06-19,ANTIOQUIA,recien nacido,1
5579302,ITAGUI,ANTIOQUIA,COLOMBIA,2019-06-27,ANTIOQUIA,acostadito,1
5593027,BARCELONA,QUINDIO,COLOMBIA,2018-03-15,EJE CAFETERO,N/A,0
5534704,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-05-17,CUNDI-BOY,aventurero,1
5576148,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-03-23,ATLANTICO,aventurero,1
5572588,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-10-24,CUNDI-BOY,N/A,0
5580028,EL CARMEN DE BOLIVAR,BOLIVAR,COLOMBIA,2019-07-28,ATLANTICO,recien nacido,1
5594550,CALI,VALLE DEL CAUCA,COLOMBIA,2019-07-05,PACIFICO,recien nacido,1
5589983,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-05-08,ANTIOQUIA,aventurero,1
5577010,BUCARAMANGA,SANTANDER,COLOMBIA,2017-06-13,SANTANDERES,aventurero,1
5566541,HUILA,HUILA,COLOMBIA,2018-05-16,CENTRO,explorador,1
5576171,SUBACHOQUE,CUNDINAMARCA,COLOMBIA,2018-02-06,CUNDI-BOY,aventurero,1
4773093,PALMIRA,VALLE DEL CAUCA,COLOMBIA,2017-05-30,PACIFICO,N/A,0
5358756,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-05-02,CUNDI-BOY,explorador,1
5445798,COPACABANA,ANTIOQUIA,COLOMBIA,2017-01-30,ANTIOQUIA,aventurero,1
5520079,CHIGORODO,ANTIOQUIA,COLOMBIA,2018-02-11,ANTIOQUIA,aventurero,1
4913234,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2018-04-09,CUNDI-BOY,explorador,1
4963516,TULUA,VALLE DEL CAUCA,COLOMBIA,2019-05-23,PACIFICO,recien nacido,1
4516473,POPAYAN,CAUCA,COLOMBIA,2018-04-20,PACIFICO,aventurero,1
5384358,SANTA MARTA,MAGDALENA,COLOMBIA,2018-05-19,ATLANTICO,aventurero,1
5352998,SINCELEJO,SUCRE,COLOMBIA,2018-09-17,ATLANTICO,explorador,1
5396519,NEIVA,HUILA,COLOMBIA,2017-08-30,CENTRO,aventurero,1
5399881,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-03-20,ATLANTICO,36 o mayor,1
5480482,IBAGUE,TOLIMA,COLOMBIA,2018-07-09,CENTRO,N/A,0
5509522,IBAGUE,TOLIMA,COLOMBIA,2018-07-03,CENTRO,explorador,1
5479163,BUCARAMANGA,SANTANDER,COLOMBIA,2017-01-05,SANTANDERES,aventurero,1
5442763,IBAGUE,TOLIMA,COLOMBIA,2017-03-17,CENTRO,aventurero,1
4327674,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-10-02,CUNDI-BOY,aventurero,1
4413353,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-02-08,ATLANTICO,aventurero,1
5339397,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2018-10-01,ATLANTICO,aventurero,1
5361397,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-05-19,ANTIOQUIA,aventurero,1
5118676,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-05-22,ANTIOQUIA,aventurero,1
4715633,BUENAVENTURA,VALLE DEL CAUCA,COLOMBIA,2017-11-18,PACIFICO,aventurero,1
5535597,INZA,CAUCA,COLOMBIA,2017-11-28,PACIFICO,aventurero,1
5445117,SOACHA,CUNDINAMARCA,COLOMBIA,2018-05-24,CUNDI-BOY,aventurero,1
5622107,IBAGUE,TOLIMA,COLOMBIA,2017-04-11,CENTRO,aventurero,1
5518018,SANTA MARTA,MAGDALENA,COLOMBIA,2018-05-23,ATLANTICO,explorador,1
5554818,LA CEJA,ANTIOQUIA,COLOMBIA,2018-05-04,ANTIOQUIA,aventurero,1
